,Country,Population,lat,long
0,Ethiopia,114964,9.145,40.489673
1,Kenya,53771,-0.023559,37.906193
2,Réunion,895,-21.115141,55.536384
3,Rwanda,12952,-1.940278,29.873888
4,Cameroon,26546,7.369722,12.354722
5,DRC,89561,-4.038333,21.758664
6,Gabon,2226,-0.803689,11.609444
7,Eswatini,1160,-26.497616,31.355667
8,Namibia,2541,-22.95764,18.49041
9,South Africa,59309,-30.559482,22.937506
10,Burkina Faso,20903,12.238333,-1.561593
11,Ivory Coast,26378,7.539989,-5.54708
12,Ghana,31073,7.946527,-1.023194
13,Guinea,13133,9.945587,-9.696645
14,Mauritania,4650,21.00789,-10.940835
15,Nigeria,206140,9.081999,8.675277
16,Senegal,16744,14.497401,-14.452362
17,Togo,8279,8.619543,0.824782
18,Algeria,43851,28.033886,1.659626
19,Egypt,102334,26.820553,30.802498
20,Morocco,36911,31.791702,-7.09262
21,Sudan,43849,12.862807,30.217636
22,Tunisia,11819,33.886917,9.537499
23,Armenia,2963,40.069099,45.038189
24,Azerbaijan,10139,40.143105,47.576927
25,Bahrain,1702,25.930414,50.637772
26,Cyprus,1207,35.126413,33.429859
27,Georgia,3989,42.315407,43.356892
28,Iraq,40223,33.223191,43.679291
29,Israel,8656,31.046051,34.851612
30,Jordan,10203,30.585164,36.238414
31,Kuwait,4271,29.31166,47.481766
32,Lebanon,6825,33.854721,35.862285
33,Oman,5107,21.512583,55.923255
34,Qatar,2881,25.354826,51.183884
35,Saudi Arabia,34814,23.885942,45.079162
36,Palestine,5101,31.952162,35.233154
37,Turkey,84339,38.963745,35.243322
38,UAE,9890,23.424076,53.847818
39,Kazakhstan,18777,48.019573,66.923684
40,Afghanistan,38928,33.93911,67.709953
41,Bangladesh,164689,23.684994,90.356331
42,Bhutan,772,27.514162,90.433601
43,India,1380004,20.593684,78.96288
44,Iran,83993,32.427908,53.688046
45,Maldives,541,3.202778,73.22068
46,Nepal,29137,28.394857,84.124008
47,Pakistan,220892,30.375321,69.345116
48,Sri Lanka,21413,7.873054,80.771797
49,China,1439324,35.86166,104.195397
50,Hong Kong,7497,22.396428,114.109497
51,Macao,649,22.198745,113.543873
52,Taiwan,23817,23.69781,120.960515
53,S. Korea,25779,40.339852,127.510093
54,Japan,126476,36.204824,138.252924
55,Mongolia,3278,46.862496,103.846656
56,Brunei,437,4.535277,114.727669
57,Cambodia,16719,12.565679,104.990963
58,Indonesia,273524,-0.789275,113.921327
59,Malaysia,32366,4.210484,101.975766
60,Philippines,109581,12.879721,121.774017
61,Singapore,5850,1.352083,103.819836
