,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,lat,long,PopulationAffected,Cases Recovered,Cases Active,Mortality Rate
0,USA,367650,+646,10943.0,72.0,19810.0,336897,8983.0,1111.0,33.0,1933423.0,5841.0,331003000.0,37.09024,-95.712891,0.11107150086252994,5.38827689378485,91.63525091799266,2.9764721882224943
1,Spain,136675,0,13341.0,0,40437.0,82897,6931.0,2923.0,285.0,355000.0,7593.0,46755000.0,40.463667,-3.7492199999999998,0.2923216768260079,29.586244741174315,60.65264313151637,9.76111212730931
2,Italy,132547,0,16523.0,0,22837.0,93187,3898.0,2192.0,273.0,721732.0,11937.0,60462000.0,41.87194,12.56738,0.21922364460322188,17.229360151493434,70.30487298844939,12.465766860057187
3,Germany,103375,0,1810.0,0,36081.0,65484,4895.0,1234.0,22.0,918460.0,10962.0,83784000.0,51.165690999999995,10.451526,0.1233827461090423,34.90302297460701,63.346070133010876,1.750906892382104
4,France,98010,0,8911.0,0,17250.0,71849,7072.0,1502.0,137.0,224254.0,3436.0,65274000.0,46.227638,2.213749,0.15015166835187058,17.600244872972144,73.30782573206815,9.091929394959699
5,Iran,60500,0,3739.0,0,24236.0,32525,4083.0,720.0,45.0,186000.0,2214.0,83993000.0,32.427908,53.68804599999999,0.07202981200814353,40.0595041322314,53.760330578512395,6.180165289256198
6,UK,51608,0,5373.0,0,135.0,46100,1559.0,760.0,79.0,252958.0,3726.0,67886000.0,55.378051,-3.435973,0.07602156556580149,0.26158735079832585,89.3272360874283,10.411176561773368
7,Turkey,30217,0,649.0,0,1326.0,28242,1415.0,358.0,8.0,202845.0,2405.0,84339000.0,38.963745,35.243322,0.03582802736575013,4.388258265214945,93.4639441374061,2.1477975973789585
8,Switzerland,21712,+55,769.0,4.0,8056.0,12887,391.0,2509.0,89.0,162500.0,18776.0,8655000.0,46.818188,8.227511999999999,0.25086077411900637,37.1039056742815,59.35427413411938,3.5418201915991157
9,Belgium,20814,0,1632.0,0,3986.0,15196,1257.0,1796.0,141.0,70000.0,6040.0,11590000.0,50.503887,4.469936,0.1795858498705781,19.150571730565964,73.00855193619678,7.840876333237244
10,Netherlands,18803,0,1867.0,0,250.0,16686,1409.0,1097.0,109.0,86589.0,5053.0,17135000.0,52.132633,5.291266,0.1097344616282463,1.3295750678083285,88.74115832579908,9.929266606392597
11,Canada,16667,0,323.0,0,3616.0,12728,426.0,442.0,9.0,330901.0,8767.0,37742000.0,56.130366,-106.34677099999999,0.044160351862646385,21.695566088678227,76.36647267054659,1.9379612407751843
12,Austria,12390,+93,220.0,0,3463.0,8707,250.0,1376.0,24.0,111296.0,12357.0,9006000.0,47.516231,14.550072,0.13757495003331113,27.9499596448749,70.27441485068604,1.7756255044390639
13,Brazil,12232,+49,566.0,2.0,127.0,11539,296.0,58.0,3.0,54824.0,258.0,212559000.0,-14.235004,-51.92528,0.0057546375359312,1.038260300850229,94.33453237410072,4.627207325049051
14,Portugal,11730,0,311.0,0,140.0,11279,270.0,1150.0,31.0,110000.0,10788.0,10197000.0,39.399871999999995,-8.224454,0.11503383348043543,1.1935208866155158,96.15515771526002,2.6513213981244674
15,S. Korea,10331,+47,192.0,6.0,6694.0,3445,55.0,202.0,4.0,461233.0,8996.0,25779000.0,40.339852,127.510093,0.04007525505256216,64.79527635272481,33.346239473429485,1.8584841738457072
16,Israel,9006,+102,59.0,2.0,683.0,8264,153.0,1040.0,7.0,109724.0,12677.0,8656000.0,31.046051000000002,34.851612,0.10404343807763401,7.583833000222075,91.7610481900955,0.655118809682434
17,Russia,7497,"+1,154",58.0,11.0,494.0,6945,8.0,51.0,0.4,795000.0,5448.0,145934000.0,61.52401,105.31875600000001,0.005137253827072512,6.589302387621715,92.63705482192877,0.7736427904495131
18,Sweden,7206,0,477.0,0,205.0,6524,590.0,714.0,47.0,36900.0,3654.0,10099000.0,60.128161,18.643501,0.07135359936627389,2.844851512628365,90.53566472384125,6.619483763530392
19,Australia,5908,+13,46.0,1.0,2547.0,3315,93.0,232.0,2.0,303536.0,11903.0,25500000.0,-25.274398,133.775136,0.023168627450980393,43.111035883547736,56.110358835477314,0.7786052809749492
